1 3 4 
6391 30150 28869 36550
6401 20082 33299 26492
6411 34590 28681 41010
6421 34002 34221 40432
6431 23349 36147 29789
6441 35181 27429 41631
6451 25188 13185 31648
6461 33129 31047 39599
6471 32274 29845 38754
6481 20400 34417 26890
6491 38823 36187 45323
6501 36606 35985 43116
6511 20700 36309 27220
6521 31995 36709 38525
6531 36411 27597 42951
6541 23802 32925 30352
6551 23391 33915 29951
6561 37953 36765 44523
6571 28401 36945 34981
6581 21408 35657 27998
6591 21423 21381 28023
6601 30642 36953 37252
6611 24786 36893 31406
6621 33198 31727 39828
6631 38994 31705 45634
6641 36030 32669 42680
6651 39477 26207 46137
6661 25266 37367 31936
6671 30993 32827 37673
6681 27474 37055 34164
6691 36399 27975 43099
6701 30963 31059 37673
6711 33411 17331 40131
6721 30369 35223 37099
6731 23889 37435 30629
6741 36276 34793 43026
6751 36585 35939 43345
6761 21261 36763 28031
6771 27570 37093 34350
6781 21801 35597 28591
6791 32724 37543 39524
6801 26103 38151 32913
6811 30291 36921 37111
6821 32520 37767 39350
6831 27096 23707 33936
6841 24975 33703 31825
6851 31194 38687 38054
6861 28836 37835 35706
6871 21831 37131 28711
6881 28701 25353 35591
6891 22752 15933 29652
6901 33114 36673 40024
6911 24408 34771 31328
6921 25989 34909 32919
6931 22476 38389 29416
6941 37005 36851 43955
6951 41253 26301 48213
6961 30663 18097 37633
6971 23925 36995 30905
6981 35865 29387 42855
6991 36036 18085 43036
7001 34296 31649 41306
7011 30765 35039 37785
7021 32724 39091 39754
7031 25809 38553 32849
7041 29541 19675 36591
7051 37425 37847 44485
7061 27843 33877 34913
7071 27426 34281 34506
7081 40350 16993 47440
7091 24303 35995 31403
7101 30987 39633 38097
7111 38883 33065 46003
7121 41022 39445 48152
7131 31692 39593 38832
7141 33222 39681 40372
7151 27483 36611 34643
7161 29745 38275 36915
7171 31326 39753 38506
7181 23718 34261 30908
7191 28131 32009 35331
7201 26685 35657 33895
7211 39936 26763 47156
7221 32682 33943 39912
7231 39639 38433 46879
7241 29613 40061 36863
7251 30390 35669 37650
7261 39471 38109 46741
7271 38442 39949 45722
7281 40791 34429 48081
7291 26778 39591 34078
7301 39507 23259 46817
7311 39924 30311 47244
7321 34155 19811 41485
7331 30303 41051 37643
7341 33984 21931 41334
7351 28452 19443 35812
7361 37374 39699 44744
7371 37464 31823 44844
7381 33477 31447 40867
7391 35367 39907 42767
7401 34503 41145 41913
7411 26142 33011 33562
7421 26832 41999 34262
7431 41691 40481 49131
7441 43200 21469 50650
7451 43500 41349 50960
7461 34443 26197 41913
